,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.018313529193707878,0.5228942136266899,8.0,32.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,4.0,3.0,3.0,0.3626893898681666,0.29737789294198835,1.0,0.29451021894876683,0.2205634771966344,0.23292857815049056,0.19727186947801661,0.0,0.40583410004732307,1.0217905381172898,0.27922221920178564,0.07796504769597004,0.0
1,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.018313529193707878,0.5285251052870477,8.0,32.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,8.0,1.0,7.0,0.4353561984781486,-0.6644826815156306,1.0,0.3466920301299149,0.25735518584068506,0.28729504996870125,0.22944929459903163,0.0,0.4676509346169823,0.7082854988807926,0.3138503351798995,0.09850203289253527,0.0
2,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.014834646283387487,0.5206382272761139,8.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,1.0,7.0,0.43395683024178133,-0.6791205734226842,1.0,0.3533204385776226,0.25386120084889857,0.3285192782561796,0.22345765054064354,0.0,0.47094005942088446,0.6701143538455497,0.3113666765257044,0.09694920725066264,0.0
3,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.014834646283387487,0.44352975076504464,8.0,32.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,5.0,3.0,5.0,0.3669861908661554,-0.4350611577809276,1.0,0.3223468291186524,0.2488488935788296,0.2807344287693827,0.2084404372547996,0.0,0.44622547041713323,0.8534721370908991,0.30856067832136697,0.0952096922061421,0.0
4,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.014834646283387487,0.44814013606602976,8.0,32.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,4.0,3.0,4.0,0.381093614437382,-0.41252139622194983,1.0000000000000002,0.3134231267967246,0.25220812518163094,0.250017993023375,0.19230577181219022,0.0,0.4405827836606426,0.8722132045312749,0.3096435577355436,0.0958791328471249,0.0
5,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.019230028375569086,0.6389765069984834,8.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,5.0,4.0,4.0,0.4076256679563392,-0.6728891875743837,1.0000000000000002,0.33575233135582483,0.25706366540513825,0.28046711847316774,0.22285342262318392,0.0,0.45755378895986293,0.7037033589842,0.3108469748616757,0.09662584178065521,0.0
6,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.02898687200933503,0.6812911362889877,8.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,4.0,4.0,6.0,0.4879617130589998,-0.8760687455975078,1.0,0.360555854397057,0.2578701959327919,0.35477275099458755,0.28247875948000445,0.0,0.47720421837237964,0.5671050238126113,0.31260732859675894,0.09772334189240203,0.0
7,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.04249973244143601,0.5832055471331843,8.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,5.0,3.0,0.4701404907760336,-0.36762830050500117,1.0,0.3370272755153332,0.23816286981951515,0.27418108447722545,0.23164687653647986,0.0,0.4407446731822227,0.6843728821140165,0.2840219753772867,0.08066848249721605,0.0
8,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.06106998032290334,0.45547315147047107,8.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,5.0,2.0,2.0,0.3100024875762702,0.877409750576946,1.0000000000000002,0.29043546232731726,0.20990908619911583,0.24449216424834136,0.1715794527242835,0.0,0.3928558164985978,1.1539766837081722,0.2645428789052871,0.0699829347794974,0.0
9,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.06337415736506113,0.46800157037850076,8.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,10.0,2.0,3.0,0.28150429637641394,0.7090226469120049,1.0,0.3243957896092806,0.2020112804246848,0.29714495131749397,0.13801502348791622,0.0,0.41387339848827126,0.9783653517577919,0.2570186017781645,0.06605856166000271,0.0
10,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.0582026006693549,0.46800157037850076,8.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,10.0,2.0,3.0,0.32532144307304,0.6070917787009606,1.0,0.32387526258267063,0.20480824080640803,0.30350544440859495,0.1483429440039149,0.0,0.4151013759649653,0.9322959603675759,0.25964199701707275,0.06741396661501362,0.0
11,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.04822017968864967,0.46800157037850076,8.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,10.0,2.0,3.0,0.3635247552434204,0.5494856890025259,1.0,0.32113081838845037,0.20755268500062826,0.30350544440859495,0.17441570251842836,0.0,0.41426763019747703,0.9240503663594783,0.26171103704390775,0.06849266691059766,0.0
12,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.030425201999612073,0.4552185843390105,8.0,32.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,2.0,3.0,0.3858988986189927,0.5127593570849873,1.0,0.31237664599860115,0.2109716345109151,0.3005395279569754,0.18734736230413618,0.0,0.41004223812085583,0.9173279062924967,0.26562279284320695,0.07055546807782523,0.0
13,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.030425201999612073,0.4552185843390105,8.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,10.0,2.0,3.0,0.3858988986189927,0.4500385165535006,1.0,0.30811579437216957,0.2152324861373467,0.3005395279569754,0.20382224290040485,0.0,0.4085780349251929,0.916583557069701,0.26832940182123,0.0720006678817391,0.0
14,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.030425201999612073,0.4552185843390105,8.0,32.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,9.0,2.0,3.0,0.3886716888349841,0.5058452040958734,1.0,0.2927358599491002,0.2210127525667654,0.23981508954233077,0.1940787764636981,0.0,0.39958902996433016,1.015787811662366,0.2719873327338889,0.07397710916769519,0.0
15,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.041049011039623995,0.4312542022865826,8.0,32.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,8.0,2.0,2.0,0.3636028537616549,0.8651942498383116,1.0,0.27264856371419854,0.21006241853023183,0.2303168579685993,0.18425617432257319,0.0,0.3747682767434887,1.1220293759551958,0.2571264707451739,0.06611402195786878,0.0
16,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.060518493071723745,0.5581132548026424,8.0,32.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,5.0,4.0,2.0,0.3369516784985731,0.01652091954902568,1.0000000000000002,0.29495733059113743,0.23507062658949662,0.1698454945542534,0.13529510236095604,0.0,0.4095840477817573,1.053465667913153,0.28418174699976656,0.08075926532783934,0.0
17,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.060518493071723745,0.5581132548026424,8.0,32.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,3.0,5.0,2.0,0.3369516784985731,-0.044718708148268504,1.0000000000000002,0.2958376648907072,0.23617104446395887,0.1698454945542534,0.13529510236095604,0.0,0.41206476418386423,1.0528927626375322,0.28684045376117584,0.08227744591391727,0.0
18,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.0568402978814837,0.5581132548026424,8.0,32.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,3.0,5.0,2.0,0.346197512531155,-0.05205544903056447,1.0000000000000002,0.2956947399593113,0.23627823816250584,0.1810341460839201,0.14648375389062274,0.0,0.4121939982224312,1.0471069771944577,0.2871733151443374,0.08246851293098892,0.0
19,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.0568402978814837,0.5581132548026424,8.0,32.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,3.0,5.0,2.0,0.346197512531155,-0.024002516442032995,1.0000000000000002,0.2886377206614853,0.2393118424655473,0.16642387816495158,0.12704341934379199,0.0,0.40860292626102623,1.0874968044522302,0.28921379213380555,0.08364461756041609,0.0
20,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.08607229062014032,0.4312542022865826,8.0,32.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,2.0,3.0,4.0,0.24765295239856283,0.4889488982575281,1.0,0.2848932737340816,0.22049252662696714,0.16684736182902288,0.08394149103527127,0.0,0.3984237268045293,1.2985729702926316,0.278526998084365,0.07757728866188786,0.0
21,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.08509314687675751,0.3475378480661322,8.0,32.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,1.0,3.0,4.0,0.18841410173894307,0.8786652294175616,1.0,0.2681642310462024,0.20985421790359177,0.15369240318944627,0.08671701857615532,0.0,0.3856227581830322,1.4451694017254288,0.2771152410389732,0.07679285681608825,0.0
