Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
13.3758,8.8297,36.4815,96.6834,0
18.6924,26.7871,36.4799,96.6834,0
10.1752,0.6285,36.4809,96.6834,0
10.1662,0.6705,36.482,96.6834,0
16.3714,9.1644,36.4808,96.6834,0
13.307,4.1067,36.4828,96.6834,0
9.5557,0.6152,36.4839,96.6834,0
9.5777,0.761,36.4855,96.6834,0
9.5648,0.6437,36.4838,96.6834,0
15.0881,22.1475,36.4849,96.6834,0
21.9163,21.6107,36.4869,96.6834,0
15.5828,22.3375,36.4857,96.6834,0
14.2766,11.7048,36.4868,96.6834,0
9.7477,0.7454,36.488,96.6834,0
9.75,0.6857,36.4867,96.6834,0
9.7868,1.0622,36.4888,96.6834,0
11.5014,17.6303,36.4907,96.6834,0
16.7921,14.052,36.4905,96.6834,0
15.2235,18.5114,36.4915,96.6834,0
10.1808,1.3712,36.4937,96.6834,0
11.3196,14.9932,36.4927,96.6834,0
9.3652,1.1494,36.495,96.6834,0
17.349,18.8425,36.4938,96.6834,0
19.1419,17.5814,36.4959,96.6834,0
17.4632,25.6992,36.497,96.6834,0
17.4018,11.9689,36.4985,96.6834,0
9.1689,8.8255,36.4968,96.6834,0
10.4362,1.4955,36.4978,96.6834,0
10.4205,0.7471,36.4988,96.6834,0
15.9358,9.4362,36.4999,96.6834,0
9.4908,0.7293,36.501,96.6834,0
9.5615,0.8429,36.5001,96.6834,0
9.5661,0.8061,36.5012,96.6834,0
19.1583,13.9524,36.5033,96.6834,0
10.0463,0.7752,36.5045,96.6834,0
10.1072,0.9396,36.5033,96.6834,0
10.0775,6.898,36.5029,96.6834,0
15.6164,11.1163,36.5036,96.6834,0
12.961,8.9542,36.5044,96.6834,0
15.5703,9.1061,36.5055,96.6834,0
16.2501,11.5735,36.5066,96.6834,0
18.1626,16.2646,36.5058,96.6834,0
16.949,25.2497,36.5078,96.6834,0
15.3574,20.5019,36.5089,96.6834,0
17.3445,8.8654,36.51,96.6834,0
17.2795,14.799,36.5078,96.6834,0
10.3057,0.8465,36.5099,96.6834,0
16.6436,14.134,36.511,96.6834,0
17.3564,14.3934,36.5121,96.6834,0
9.7342,0.8731,36.5108,96.6834,0
9.7209,0.7143,36.5119,96.6834,0
9.7588,2.9053,36.513,96.6834,0
17.7446,9.0729,36.5141,96.6834,0
17.5786,13.412,36.5118,96.6834,0
9.4322,0.7323,36.5139,96.6834,0
9.4606,0.8128,36.515,96.6834,0
9.4206,1.6703,36.5146,96.6834,0
9.3748,9.718,36.5223,96.6834,0
